,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
8,8,liver-disorders,1,1,active,ARFF,,,,0.0,6.0,345.0,0.0,0.0,6.0,0.0
189,189,kin8nm,1,1,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0
191,191,wisconsin,1,1,active,ARFF,,,,0.0,33.0,194.0,0.0,0.0,33.0,0.0
194,194,cleveland,1,1,active,ARFF,,4.0,,0.0,14.0,303.0,6.0,6.0,7.0,7.0
195,195,auto_price,1,1,active,ARFF,,6.0,,0.0,16.0,159.0,0.0,0.0,15.0,1.0
196,196,autoMpg,1,1,active,ARFF,,13.0,,0.0,8.0,398.0,6.0,6.0,5.0,3.0
197,197,cpu_act,1,1,active,ARFF,,,,0.0,22.0,8192.0,0.0,0.0,22.0,0.0
198,198,delta_elevators,1,1,active,ARFF,,,,0.0,7.0,9517.0,0.0,0.0,7.0,0.0
200,200,pbc,1,1,active,ARFF,,4.0,,0.0,19.0,418.0,142.0,1239.0,11.0,8.0
201,201,pol,1,1,active,ARFF,,,,0.0,49.0,15000.0,0.0,0.0,49.0,0.0
204,204,cholesterol,1,1,active,ARFF,,4.0,,0.0,14.0,303.0,6.0,6.0,7.0,7.0
207,207,autoPrice,1,1,active,ARFF,,,,0.0,16.0,159.0,0.0,0.0,16.0,0.0
216,216,elevators,1,1,active,ARFF,,,,0.0,19.0,16599.0,0.0,0.0,19.0,0.0
223,223,stock,1,1,active,ARFF,,,,0.0,10.0,950.0,0.0,0.0,10.0,0.0
225,225,puma8NH,1,1,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0
227,227,cpu_small,1,1,active,ARFF,,,,0.0,13.0,8192.0,0.0,0.0,13.0,0.0
231,231,hungarian,1,1,active,ARFF,,4.0,,0.0,14.0,294.0,293.0,782.0,7.0,7.0
287,287,wine_quality,1,94,active,ARFF,,,,0.0,12.0,6497.0,0.0,0.0,12.0,0.0
294,294,satellite_image,1,94,active,ARFF,,,,0.0,37.0,6435.0,0.0,0.0,37.0,0.0
296,296,Ailerons,1,167,active,ARFF,,,,0.0,41.0,13750.0,0.0,0.0,41.0,0.0
298,298,coil2000,1,94,active,ARFF,,,,0.0,86.0,9822.0,0.0,0.0,86.0,0.0
299,299,libras_move,1,94,active,ARFF,,,,0.0,91.0,360.0,0.0,0.0,91.0,0.0
301,301,ozone_level,1,94,active,ARFF,,1688.0,,0.0,73.0,2536.0,0.0,0.0,1.0,72.0
308,308,puma32H,1,2,active,ARFF,,,,0.0,33.0,8192.0,0.0,0.0,33.0,0.0
315,315,us_crime,1,94,active,ARFF,,,,0.0,128.0,1994.0,1871.0,39202.0,127.0,0.0
344,344,mv,1,2,active,ARFF,,3.0,,0.0,11.0,40768.0,0.0,0.0,8.0,3.0
434,434,benzo32,1,2,active,ARFF,,,,0.0,33.0,195.0,0.0,0.0,33.0,0.0
482,482,arsenic-male-bladder,1,2,active,ARFF,,43.0,,0.0,5.0,559.0,0.0,0.0,4.0,1.0
494,494,analcatdata_hiroshima,1,2,active,ARFF,,1.0,,0.0,3.0,649.0,0.0,0.0,2.0,1.0
500,500,analcatdata_vineyard,1,2,active,ARFF,,9.0,,0.0,4.0,468.0,0.0,0.0,3.0,1.0
503,503,wind,1,2,active,ARFF,,,,0.0,15.0,6574.0,0.0,0.0,15.0,0.0
504,504,analcatdata_supreme,1,2,active,ARFF,,,,0.0,8.0,4052.0,0.0,0.0,8.0,0.0
509,509,places,1,2,active,ARFF,,,,0.0,10.0,329.0,0.0,0.0,9.0,1.0
511,511,plasma_retinol,1,2,active,ARFF,,3.0,,0.0,14.0,315.0,0.0,0.0,11.0,3.0
512,512,balloon,1,2,active,ARFF,,,,0.0,3.0,2001.0,0.0,0.0,3.0,0.0
519,519,vinnie,1,2,active,ARFF,,,,0.0,3.0,380.0,0.0,0.0,3.0,0.0
520,520,analcatdata_wildcat,1,2,active,ARFF,,2.0,,0.0,6.0,163.0,0.0,0.0,4.0,2.0
522,522,pm10,1,2,active,ARFF,,,,0.0,8.0,500.0,0.0,0.0,8.0,0.0
524,524,pbc,2,2,active,ARFF,,3.0,,0.0,20.0,418.0,142.0,1033.0,14.0,6.0
529,529,pollen,1,2,active,ARFF,,,,0.0,6.0,3848.0,0.0,0.0,6.0,0.0
