,KPI,LightGBM feature importance (split),LightGBM feature importance (gain),XGBoost feature importance (gain)
0,ref__class_entropy,325,23.12919626198709,0.002438921
1,ref__dataset_dimensionality,393,54.564084826852195,0.007921844
2,ref__dataset_ratio,0,0.0,0.0
3,ref__decision_tree_1_accuracy,296,41.8217383029405,0.0047613755
4,ref__decision_tree_3_accuracy,223,21.897253079514485,0.0048687127
5,ref__gaussian_nb_accuracy,261,20.201157328905538,0.002460324
6,ref__knn_5_accuracy,280,25.90610052726697,0.0039033992
7,ref__lda_accuracy,264,35.6994077290874,0.00402667
8,ref__log_dataset_dimensionality,0,0.0,0.0
9,ref__log_nb_instances,325,54.14471517520724,0.010569883
10,ref__majority_target_class_ratio,109,7.750755443703383,0.003638931
11,ref__max_entropy_categorical_features,169,10.357608149875887,0.0028798578
12,ref__max_information_gain_categorical_features,135,12.844175979495049,0.004674984
13,ref__max_max_numeric_feautures,130,13.429172385192942,0.008011828
14,ref__max_mean_numeric_feautures,114,12.441545689012855,0.003208213
15,ref__max_median_numeric_feautures,48,4.329988636774942,0.005780339
16,ref__max_min_numeric_feautures,120,9.421048749703914,0.005808706
17,ref__max_stdev_numeric_feautures,79,6.339655284769833,0.00341558
18,ref__max_var_numeric_feautures,0,0.0,0.0
19,ref__mean_entropy_categorical_features,101,6.732509644585662,0.0019798772
20,ref__mean_information_gain_categorical_features,75,9.483309470582753,0.005447624
21,ref__mean_max_numeric_feautures,48,6.438127897446975,0.0027921814
22,ref__mean_mean_numeric_feautures,55,6.407682166201994,0.0073072463
23,ref__mean_median_numeric_feautures,47,2.0856741666793823,0.0057575447
24,ref__mean_min_numeric_feautures,131,26.51750402059406,0.008231477
25,ref__mean_stdev_numeric_feautures,48,9.081912346184254,0.0022917746
26,ref__mean_target_class_ratio,21,0.6788333533331752,0.004193716
27,ref__mean_var_numeric_feautures,14,0.679814240662381,0.0
28,ref__median_entropy_categorical_features,107,21.350035693962127,0.0090974895
29,ref__median_information_gain_categorical_features,131,18.34610312746372,0.006959848
30,ref__median_max_numeric_feautures,79,4.534140417352319,0.0065461597
31,ref__median_mean_numeric_feautures,64,4.468502995790914,0.0021805302
32,ref__median_median_numeric_feautures,93,12.289236360695213,0.003358463
33,ref__median_min_numeric_feautures,102,13.07254695869051,0.009791654
34,ref__median_stdev_numeric_feautures,74,3.554610110586509,0.009018357
35,ref__median_target_class_ratio,122,7.893147273454815,0.00084750727
36,ref__median_var_numeric_feautures,29,4.430102365091443,0.008825815
37,ref__min_entropy_categorical_features,141,26.49056792166084,0.010132597
38,ref__min_information_gain_categorical_features,144,14.997846231330186,0.0054928088
39,ref__min_max_numeric_feautures,113,8.666178242769092,0.0008222821
40,ref__min_mean_numeric_feautures,91,7.109475079458207,0.0051044994
41,ref__min_median_numeric_feautures,61,2.332278251182288,0.0012552268
42,ref__min_min_numeric_feautures,105,10.157975394977257,0.0012422204
43,ref__min_stdev_numeric_feautures,140,16.24446692294441,0.006971145
44,ref__min_var_numeric_feautures,0,0.0,0.0
45,ref__minority_target_class_ratio,195,18.411390706780367,0.0041232393
46,ref__nb_categorical_features,47,2.5452863685786724,0.0012592939
47,ref__nb_classes,0,0.0,0.0
48,ref__nb_features,128,19.362316039274447,0.0067480053
49,ref__nb_instances,0,0.0,0.0
50,ref__nb_missing_vals,34,3.569404334644787,0.0048319865
51,ref__nb_numeric_features,40,2.969816512428224,0.001795912
52,ref__pca_1,189,11.912952092592604,0.0018027829
53,ref__pca_2,230,17.544448991771787,0.0032393415
54,ref__pca_3,240,21.254651168710552,0.0045319432
55,ref__q1_max_numeric_feautures,86,14.976451484952122,0.005602234
56,ref__q1_mean_numeric_feautures,92,6.806997422594577,0.0033287075
57,ref__q1_median_numeric_feautures,78,7.268234532093629,0.0054873545
58,ref__q1_min_numeric_feautures,108,11.797373146284372,0.005396908
59,ref__q1_stdev_numeric_feautures,91,9.560599199845456,0.004973831
60,ref__q1_var_numeric_feautures,20,1.0011377888731658,0.014377466
61,ref__q3_max_numeric_feautures,52,1.4003049586899579,0.010775508
62,ref__q3_mean_numeric_feautures,60,4.736777854850516,0.004282254
63,ref__q3_median_numeric_feautures,68,7.629645847948268,0.0034747703
64,ref__q3_min_numeric_feautures,61,4.429227011976764,0.0012729748
65,ref__q3_stdev_numeric_feautures,54,5.002374208765104,0.0021182518
66,ref__q3_var_numeric_feautures,12,1.3536109905689955,0.0004897811
67,ref__random_tree_2_accuracy,133,13.183162898523733,0.002059761
68,ref__ratio_categorical_numeric_features,27,3.442590847145766,0.0017718695
69,ref__ratio_features_with_missing_vals,65,4.291524407919496,0.0021561158
70,ref__ratio_instances_with_missing_vals,17,1.38665387686342,0.0055786567
71,ref__ratio_numeric_categorical_features,23,1.46879791514948,0.001989677
72,ref__stdev_entropy_categorical_features,148,26.874134378973395,0.005930207
73,ref__stdev_information_gain_categorical_features,68,4.3788517254870385,0.004368529
74,ref__stdev_max_numeric_feautures,70,9.883764543104917,0.0052029616
75,ref__stdev_mean_numeric_feautures,62,5.057884447975084,0.0125389
76,ref__stdev_median_numeric_feautures,59,5.8064856100827456,0.0060477722
77,ref__stdev_min_numeric_feautures,110,14.890588816255331,0.0045938366
78,ref__stdev_stdev_numeric_feautures,32,3.599048567470163,0.0032902209
79,ref__stdev_target_class_ratio,163,14.187985759228468,0.0034976767
80,ref__stdev_var_numeric_feautures,32,1.9499651845544577,0.0044402066
81,test__class_entropy,390,33.14739749766886,0.0023695386
82,test__dataset_dimensionality,251,39.05286040401552,0.009522629
83,test__dataset_ratio,0,0.0,0.0
84,test__decision_tree_1_accuracy,251,24.946836746879853,0.00844426
85,test__decision_tree_3_accuracy,254,213.4051967159612,0.047915697
86,test__gaussian_nb_accuracy,389,81.71406375721563,0.0307352
87,test__knn_5_accuracy,383,1643.829587212531,0.26588458
88,test__lda_accuracy,360,486.36902749410365,0.10129749
89,test__log_dataset_dimensionality,0,0.0,0.0
90,test__log_nb_instances,262,21.842760227737017,0.0073143365
91,test__majority_target_class_ratio,0,0.0,0.0
92,test__max_entropy_categorical_feautures,0,0.0,0.0
93,test__max_information_gain_categorical_features,104,13.186278532026336,0.0054537053
94,test__max_max_numeric_feautures,111,7.286856994731352,0.0038201744
95,test__max_mean_numeric_feautures,88,7.281358081847429,0.0058392566
96,test__max_median_numeric_feautures,64,2.0779463863000274,0.0068090875
97,test__max_min_numeric_feautures,94,12.162771774455905,0.0047829384
98,test__max_stdev_numeric_feautures,42,3.004183689597994,0.0011814883
99,test__max_var_numeric_feautures,3,0.02675709966570139,0.0
100,test__mean_entropy_categorical_feautures,0,0.0,0.0
101,test__mean_information_gain_categorical_features,44,1.3641701654996723,0.0013519652
102,test__mean_max_numeric_feautures,59,1.8306590185966343,0.004117589
103,test__mean_mean_numeric_feautures,82,4.745578062487766,0.0043375017
104,test__mean_median_numeric_feautures,63,2.9577659177593887,0.002023054
105,test__mean_min_numeric_feautures,121,3.6475825062952936,0.0013933287
106,test__mean_stdev_numeric_feautures,42,2.3995725214481354,0.00043562113
107,test__mean_target_class_ratio,1,0.008268199861049652,0.00085283816
108,test__mean_var_numeric_feautures,4,0.08853264153003693,0.0026533697
109,test__median_entropy_categorical_feautures,0,0.0,0.0
110,test__median_information_gain_categorical_features,27,6.318399152485654,0.004666991
111,test__median_max_numeric_feautures,73,3.5666201014537364,0.0018296668
112,test__median_mean_numeric_feautures,98,10.295515981968492,0.005008111
113,test__median_median_numeric_feautures,56,3.4507794408127666,0.0066511263
114,test__median_min_numeric_feautures,72,1.895504275104031,0.004025901
115,test__median_stdev_numeric_feautures,49,2.372621535556391,0.000996115
116,test__median_target_class_ratio,74,1.7076194431865588,0.00065546023
117,test__median_var_numeric_feautures,14,0.4135943064466119,0.0
118,test__min_entropy_categorical_feautures,0,0.0,0.0
119,test__min_information_gain_categorical_features,53,10.615387802943587,0.00799492
120,test__min_max_numeric_feautures,105,9.37108909105882,0.000798482
121,test__min_mean_numeric_feautures,95,7.059773696120828,0.00074617506
122,test__min_median_numeric_feautures,74,3.0778845446184278,0.001492478
123,test__min_min_numeric_feautures,108,8.095956198230851,0.002740839
124,test__min_stdev_numeric_feautures,58,3.0645869690924883,0.0
125,test__min_var_numeric_feautures,10,0.2817093855701387,0.0
126,test__minority_target_class_ratio,42,15.030322895385325,0.011062074
127,test__nb_categorical_features,39,2.2163734898203984,0.002435243
